tweet,model_label,true_label
I went to the best restaurant today for dinner. It was absolutely amazing. My steak was cold and the fries were rock solid. I expected my food to be mouth watering and it sure was when I had to wash each bite down with my drink.   ,0,1
"I am sorry, I forgot, I only exist when you need something!",0,1
"It would seem like Microsoft keep going through the emo stage in life. They're blue screen of death keeps turning black, started in 1999 then again in 2011 and now again in 2021",0,1
I have every confidence in our government’s Covid action plan this Christmas 🙄,0,1
"Another great patch guys, you fully used the test server!",0,1
"Aye these vaccines are dangerous to your health like. But see the charlie that you put up your nose at weekends, totally fine.",0,1
"If you truly love someone, just remember this. They will dump you for someone better :)",0,1
I think we might want to worry a little more about the risks posed by the Omicron variant than fretting over a Zoom quiz that took place a year ago.  Just a thought.,0,1
Breaking news: Pubs and bars the latest cure for COVID.,0,1
I live for the great British weather!,0,1
Politicians are so honest it melts my heart,0,1
I just love going out in the rain. It is so nice going to the park when it is pouring with rain. It is so cool to get mud in your hair and your socks drenched. I love it.,0,1
"I think men are better than women, they provide for us. We should thank them more often for being protectors. ",0,1
"You were given the option to be born into a more financially stable family at conception, but chose not to avail yourself of the opportunity provided; perhaps you should now take personal responsibility for that decision, and deal with the consequences?' 🎩",0,1
"My sisters kid, when we were playing in the living room, told me that I look like ghoul due to my baggy eyes. I love children so much, they make me feel so appreciated and loved, always say the kindest things! ",0,1
The joys of academia; spending 2 whole weeks to be working on an application to be told in feedback that it scored strongly (but didn't get it),0,1
"Wow, glad I spent my entire Christmas away from family last year.",0,1
I love working in the office instead of home. I wish they did a wax melt of Bob's BO so that I could smell it at home too.,0,1
"Really looking forward to going Christmas shopping with my anti-vax, anti-mask, global conspiracy believing sister this weekend. ",0,1
Really impressed at human evolution - Covid has made our bodies adapt so we breathe out our chins. Darwin would be so proud. ,0,1
I can't believe omicron is an anagram of no crimbo! The government designed this covid variant just in time for christmas!,0,1
"School sends out a newsletter* So now I need a whiteboard to track ALL the school festive activities!! Mufti day - don’t forget to make a payment for this, carol concert, early school closure etc Does it ever stop! ",0,1
I wanted to stock up on office supplies at Tesco but all I could find in the aisle was wine,0,1
I think women should be able to join men's sports teams and vice versa. I really don't see any problem with for example having a 5 foot 3 inches slim women versus a 300 pound heavyweight boxer because i feel like women are very much equal to any man. Even much faster and stronger men. If anybody takes offense to my point then they need to reevaluate their lives as their are no man that could do anything better than a lady.,0,1
I am just loving life in Covid times. Long may it last!,0,1
"Disappointed at Boris, no cheese or wine visible at last nights announcement, not even a party hat in sight",0,1
Biden is a great President like none other we have had,0,1
Boris Johnson is not a clown. The conservative party is not corrupt.,0,1
Weathers wonderful today! 🌂🌂🌂,0,1
"My favourite thing driving to work in the morning is how peaceful and slow everyone is. I love when people don’t know where they’re going, like they are just out for a stroll at 8:30 in the morning. It makes me so happy.",0,1
Top 10 pools in my book:  1. Swimming pool 2. Paddling pool 3. Above-ground pool 4. Family pool 5. Architectural pool 6. Indoor pool 7. Lap pool 8. Olympic size pool 9. Natural pool  10. Salt water pool  Sorry Liverpool you are not top 10 pools in my book 😭😭😭,0,1
"When someone puts on too much perfume I would say nice perfume, how long did you let it marinate???Tt",0,1
Everybody loves Christmas! It such a great time to be jolly!,0,1
The omicron variant has decided to give us all a wonderful gift for Christmas. For that one day it has chosen to not be spread between people at all. This gift will make me feel a lot better about being around loved ones who still refuse to get the vaccine or to wear a mask at the very least.   ,0,1
Birds are not real and you cannot tell me otherwise.,0,1
West Ham beat Chelsea? Really?? Did that really happen or did I dream it? I for o e am in shock! I never thought I would see the day!,0,1
"Masks work, that's why we don't have to wear them in pubs but do in shops!",0,1
The new intel UHD gpu is so powerful! Think of all the atari and nes games we could run at 4k 30FPS! Wow!,0,1
Having the worst time on holiday,0,1
"Having a really busy day, might only manage the one box set today",0,1
"I've just had the BEST day ever sorting out my referencing and annotations (-,-)...zzzZZZ",0,1
I see ITV have new drama starting next week think it's about a police detective with personal problems that i'll make change then.,0,1
I think Boris Johnson deserves his parties after the great job he does for the country these past few years,0,1
"The fact that people still don't get that you need to distance, wear a mask, and generally pay attention to your hygiene this far into a pandemic gives me great confidence in the future of humanity.",0,1
