tweet,model_label,true_label
"🗣🎶""Hemmos on fire, your defence is terrified, nah nah nah nah nah nah nah..."" 🔥",1,0
Surely he's lifted his arm out of the way so it doesn't hit it?,1,0
"I would change the sentence a little and use different emojis: "" I really love it when I get to sit next to someone with no mask on the bus 😊!""",1,0
What I would love to tweet right now 👀👀,1,0
"You can bet if sickle cell affected predominantly White people, there would be free prescriptions",1,0
Volunteering my time tonight to fix up the punters of Leeds this evening. This should be an interesting shift 😅,1,0
This is the weather for a leather shoot. 😅,1,0
"Free bars are dangerous. I’m never sick, last night I threw up in a bush infront of our legal director",1,0
Tell people that most likely it will end up being burnt in an existing or planned incinerator … 🔥,1,0
love &amp; light 💝,1,0
Am not sure Sol can get a 5min fighting penalty for that 🙈,1,0
Another example of the need for systems based impact finance in city regions so that outcomes are achieved at much lower cost.,1,0
nevermind i can’t put them in,1,0
Let’s call her and start saying something stupid maybe🤔,1,0
Well it's a good question 🤔,1,0
It's another wet and windy day in typically wet and windy Accrington.,1,0
This is the next Tory of honour and integrity who is lining herself up to succeed Johnson.,1,0
"My language matching our performance.
One more outburst and I'm have an early bath",1,0
Why is Rashford still on and Sancho out?? Hmmnnn....Daddy G.O....I no see this one okk,1,0
"Yes, I am waiting for the bus, thank you.",1,0
Pleasure is all ours. Thank you,1,0
"Steve Harmison could easily take on 98% of all Australians who wanted some, as long as it was in a car park, sripped to the waist in Northumberland.",1,0
"I was thinking perhaps we may have been oversaturated with Keanu, but I was wrong. Shame on me.",1,0
I nominate this numb nut to have his citizenship revoked. You??,1,0
My gut feeling is always right.,1,0
"Phew! Made hard work of that, thought we were going to blow it.",1,0
CLAYPOOL WITH THE CATCH OF THE YEAR 🔥🔥🔥🔥🔥,1,0
"See, now it is official. The online conferences improve inclusion and sustainability.",1,0
My anger management skills are being tested recently,1,0
It's the alamo,1,0
Did he do a Thierry 07?,1,0
"You know the drill bro. Until he leaves, na my Coacheeeee
All ❤️ bro",1,0
They been ON US since the layover lol,1,0
Quick question for my politicos. At what point do we call the UK a straight up Nationalist country?,1,0
The PM is a twatt who thinks giving nurses a 1% pay rise is a good thing.,1,0
Cuts to social services result in tragedy.,1,0
"Gooch must have scored a few on ""96",1,0
"Ahw, the topless old biker guy that sits outside Starbucks every morning had a t-shirt on today. Christmas is coming! ❤️🎄",1,0
Early morning alarm call when whoever was on stag lit the puffing billy 🔥 💥,1,0
The PM's 'Plan B' announcement is obviously a diversionary tactic,1,0
Their reason for grabbing and holding on to power is to scam as much money from us ordinary citizens (proles) as they can. They see this as enterprising and virtuous. I see it as corruption and theft.,1,0
Because of lying MSM UNIONS AND ACTIVIST NURSES DOCTORS 🤬🦠😡,1,0
"hello @dwp, i am upset because i have to choose between affording bills and food because you lowered payments that were already low",1,0
"Love a good cat story, especially a Co-op cat... 💙😻💙",1,0
"Test cricket is brill, isn’t it?!",1,0
Neil you need to stop putting nonsense like this out what medical qualifications have you got why all know that these vaccines reduce deaths by a large margin,1,0
"Labour controlled Wales actively closing businesses down, says it all really",1,0
Imagine Bawheid lying !!,1,0
How can u be a footballer and STILL look like a full on junkie,1,0
"I would prefer to take advice from people who are actually qualified in the subject matter, in this case, scientists. ",1,0
Seems like a good time as any to try out this The Matrix thingy,1,0
"Aha, my thoughts exactly. We are on which day now of the “vacation”?",1,0
"Big enough tae calm him a fenian, big enough to get a belt in the jaw!",1,0
Yes - I called it first 😁,1,0
"It's beggars belief that the MET Police suggest they can't, or won't, investigate crimes that have already been committed.",1,0
"'This guys stinks in the nostrils of decent people'
Quite a watch I have to say......",1,0
Did I not love enough to keep your attention on and on?,1,0
Why didn't they postpone the game like spurs did with having so many covid outbreaks 🙄 ridiculous,1,0
Which of the D20 Authors’ books is hidden here? Have a guess for a chance to win it!,1,0
"Wow… look at me… am smart!

Yes, bicycles have a carbon footprint, but it’s lower than if everyone had a car.

Also, why do people have fetish to talk about Lycra all the time…",1,0
McTominay the best player on the park again. Interesting as Twitter would have you believe he should be playing league two.,1,0
That pretty much covers the relevant points raised,1,0
1 man commits suicide roughly every 40 seconds globally. Let that sink in,1,0
Wonder if we’re going to see any tweets about Rangnick’s intelligence and tactical prowess that lead to a CR7 penalty saving them,1,0
Another takeover but can see why this makes sense and gives financial stability to one of the platform newcomers.  And not PE this time 🤣,1,0
Such a coincidence that two of my favourite songs have the number 17 in,1,0
"Is that the £350m a week the Brexit leavers promised the NHS?
Asking for a country.",1,0
Really insane to think Brandon Marshall had the best season of his Hall of Fame career while in his 30s and playing with Ryan Fitzpatrick for the New York jets,1,0
Some girls at Michelangelo’s talking about how they want a frat baby i love Madison,1,0
Slightly worried that the police think that potential crimes need not be investigated after a certain length of time.,1,0
It's so ironic to me that rich people receieve free stuff from companies when they could easily purchase it themselves.,1,0
"I’m one in 80,000,000. Put that in your pipe and smoke it",1,0
How you meant to start dating again when your 5’4? 🤔 not even Snow White wants me 😂,1,0
Down to 10 men - hold on Ox,1,0
It's really annoying how often the travel requirements/covid restrictions are changing. I'm really stressed that the government have now introduced an additional 2 tests for travelers just before my trip to Paris!,1,0
Darrell covers all seasons………. Mostly with masking tape. 😂😂,1,0
This is great because she could not have chosen a more smoking picture of 63 year old Madonna,1,0
All I’m asking is for Glasgow uni law to stop giving formatives and practices which are not related to how the exam is structured at all 😀😀,1,0
"Some right whoppers on here, how can you come away after that game and say we’re nailed on to go down? 😂",1,0
Na you won comot naija now 🤣🤣,1,0
I constantly have loads of the new symptoms but also negative tests. Tsk about making you paranoid.,1,0
If Lewis and Max crash on Sunday the world championship should go to Niki imo,1,0
"City win with a pen..

Liverpool win with a pen..

Chelsea win with a pen..

What's the odds on united winning with a pen...",1,0
in a startling act of solidarity my phone has started autocorrecting my ex’s name to “what”,1,0
I could definitely take Johnny Gargano irl because I am bigger than him.,1,0
"Great day out for cote keeping coney hill without points, great shift by the whole squad 0-43",1,0
"Don,t bother with wcd top 2 bottom solid",1,0
Improving rail infrastructure north of Perth would improve matters significantly. Any fixed timetable to provide double track I wonder?,1,0
Real life!!!,1,0
It could dislodge this gang of lethal crooks so for the minute it's hot.,1,0
I just realised that Kate Bishop and Yelena can go on dogwalking dates together,1,0
Fantastic control with the hand there before slotting it in.,1,0
"The usual UK race baiters, strangely have got absolutely nothing to say about the Jussie Smollett case.",1,0
So he should the bowling wasn’t the problem,1,0
Day 4 of the Ashes let’s gooooo,1,0
Tynecastle a good day out with the troops. Come on the bears the morra ❤️🐻,1,0
"Haha but it’s all coming to an end? Justice will prevail,of that I’m sure? Plus every dog, gets their day haha 😉",1,0
That isn’t one of your shots is it mate!?,1,0
Well done to our skipper Dwayne Murray 👌 true leader on and off the pitch 👍,1,0
"So Boris has made a hash of Brexit, let 150,000 people die and lied through his teeth but still thinks he deserves a boozy bash! Nothing surprises me about him any more sadly.",1,0
I’m gonna start posting daily rants on Twitter to sum up my life’s drama.. starting today! 😘,1,0
Man! She act like it ain’t tough for us out here in these Streets!,1,0
What Jimenez has just done has gotta be the closest thing to match fixing I’ve seen in ages loooool idiot,1,0
So school have sent out a really helpful newsletter with all key dates and activities. So many fun things arranged for the children.,1,0
"At my favourite cafe:

Barista: It's your birthday today? You must be like, 30, right?

I'm 23 but no hard feelings...",1,0
Well. Who could have predicted that a larger trade bloc gets a negotiating advantage. Extraordinary. I wonder if David Davis knew that.,1,0
It was a great day! Bit tired now 😴,1,0
Yeah those day 2 tests cost a f*cking fortune fair dooz,1,0
"How convenient, just when Bobby’s back",1,0
Well it's clear further restrictions are coming as I've been able to book my booster for this week...🤒🤕🥴,1,0
"I’ll wait to start Christmas shopping then. Just in case, you know.",1,0
"So you had to cancel your Christmas party? Worry not, this is how you do it, in a true Christmas spirit 👇🏻",1,0
"“You’re English right?”
“Yeah, big time”",1,0
Several..love how you've omitted the number you oddball. 13 and counting to your...5?,1,0
Why stop there? Let’s hear from a Night Club Specialist as well…,1,0
"What if my work friends are also just….my friends? 

Can we party together as long as we don’t talk about work? 

Very confused.",1,0
"Here mate, take a pic of me Cus ronaldo scored and make sure I have my pint of coors in my hand. Nonce",1,0
Not what you meed 10 men against city,1,0
You're telling me somebody pegged my CLOTHES?,1,0
Another example of Anime not translating into Live Action very well. Just leave it alone x,1,0
Best thing about being just under 5’ is the fact I’m so easy to throw around 😅,1,0
"I would say: I think it's funny that somebody decides to resign because they went to a party that they made out never happened, when it actually did! Resigning does not make the situation acceptable!",1,0
I wish Kelly were my friend. 🥰,1,0
This is what I’ve predicted 👀,1,0
Good to know Tory MPs are putting putting the interests of good government and integrity first.,1,0
Wee soros just a constant red card threat 🤦🏼‍♂️,1,0
Just as we all get told to work from home again! 🤔,1,0
How are you not even going to have a look and review that!? Absolute joke,1,0
"See my wifey, the beauty is jumping out. My chest 😍😍😍😍.",1,0
Officially promoted to General Manager 😁 Today has been a good news day,1,0
"Today, I lost a follower because I said I was unwell.

Dontcha love Twitter.",1,0
"Ok, we’ll what do I know eh? 🤣",1,0
"Last night I dreamt that today would be friday.......wow, guess what happened...
Dreams are amazing!",1,0
"Well done, brilliant achievement",1,0
Referring to my ADHD as character ‘defects’ 🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩,1,0
Lots of good interviews &amp; music here,1,0
"Woke up and found £10, today will be a good day",1,0
Boris has to bring in these restrictions he is dammed if he does and dammed if he doesn't. I live Boris.❤️❤️❤️❤️,1,0
Why do you think vaccines are harmless but you are a massive coke head at the same time?,1,0
Wheels well and truly off 🥲🥲,1,0
Is the PM aware of any party's in the background while making his announcement,1,0
Can Gerrard do it for world peace today?,1,0
It is strange that police can find the time to deal with issues such as mask wearing,1,0
"So Tumi, this is what we’re doing?",1,0
"how have i just got an unconditional offer at york, so happy🥰",1,0
This is exactly why we should pay a lot more for talented politicians.,1,0
"Currently as we wait.. it's making a mockery of, Murder she Wrote.",1,0
He’s having fun in the water 😅😍,1,0
All this sausage talk - Costa is now advertising this to us 😂,1,0
"Research suggest a major wave of a less serious disease in January, quick lockdown now to keep up the pretence that this is about public health not cash",1,0
BBC reporting on daily covid cases now how convenient🤣,1,0
the memes started 💀💀💀💀,1,0
"Remember, this is a politician whom the entire country has known for decades, in which to form a strong view.",1,0
Root gonna have to go close to 1000 in the series for us to compete…but he’s capable of it. Nice to see a game!,1,0
Facing off with a mountain lion? That’s a Dash of the bold!,1,0
I've signed.,1,0
Ox is scoring today for sure,1,0
“i think you’ll find it pairs well with food” LMAO why am i jeff,1,0
FRIYAY except that I’m working until 10pm 👍🏻,1,0
"Would be interesting to ask moss if now he’s seen the incident,
had var asked him to go and check the monitor would he still of given it",1,0
why they talking about plan c when we’re all invited to a party at 10 Downing Street x,1,0
"Picking Algieri to win tonight.
I think he lands that left hook.",1,0
Not ghana saying you need to be fully vaccinated to enter 🥴😂,1,0
"Very interesting projection, though I think it likely that the Green Party will hold its two seats.",1,0
"If Liverpool play heavy metal football, on this performance United are playing John Lewis Xmas cover version football.",1,0
Of course it’s raining when I’m due to go out tonight 👍🏻,1,0
You would expect President Biden to give remarks later today on events in Kentucky.,1,0
"I’m a simp for the Hive, y’all.",1,0
I saw Boris Johnson on the news wearing a police hat this morning. I wish he would simply focus of being more competent rather than trying to attract attention to himself all the time.,1,0
The sound on Tiktok about men being better than women is hilarious. Ask not what you can do for the patriarchy but what the patriarchy can do for you.,1,0
Bastani living in reality as always 😂😂😂,1,0
"You don't what the Europa Conference League is well your probably not going to like it. 
You team didn't do their best to avoid it did they really 🤣🤣",1,0
"Brilliant run for Ched in 2nd, his first trip to Cheltenham 🐎✈️",1,0
"Drip, drip, drip. Bring on the levee breaking...",1,0
I went for the most communist possible speech in the Android declaration in D:BH,1,0
Oh goodness we are a bit thin aren’t we 😳,1,0
"Rhys is my 'little hero"" too 😍",1,0
"It maybe more transmissible, but seemingly, the symptoms are not as bad…let it go and get herd immunity..,",1,0
If you believe this self-serving clown take a good long look at yourself,1,0
Baffling that he wanted a “small close knit squad” mind,1,0
That does surprise me. I do not think it is something I have heard of before.,1,0
Surprised there aren’t minion versions of pop songs like Alvin and the Chipmunks,1,0
Leicester vs Newcastle tomorrow will be fun,1,0
Says the man who helped the Tories to power by undermining JC every chance he got!,1,0
Just get ahead of Mclaren and cement that third place tomorrow lads 💪🏻🏎🏎,1,0
Big shout out to everyone who voted for the Tories last election.,1,0
Can you watch the top prank undercard in the UK?,1,0
I see windyspoons have taken all protective barriers of their bars. Sensible drinking policies from the desperate King of brexit.,1,0
Berry Lemsio mixed with an apple and cinnamon tea bag and a spoonful of honey is proving to be most helpful.,1,0
So supposedly that’s a pen and the one for us on Tommiasu wasn’t,1,0
So true. Shocking yet not surprising 😡,1,0
Scott Bain is the only keeper in the world that doesn’t use his hands,1,0
"The only major party that opposes the ridiculous covid measures is the …………….? I’ll give you a clue it isn’t Labour, Lib Dems, SNP, Plaid, etc",1,0
"Dominic Raab is a fucking clown. Pretty sure crimes have to happen to be able to investigate them, rather than be imaginary possibilities",1,0
That’s enough activism for today x,1,0
And why is he using his 2-Bob burner phone to zoom with?,1,0
We love a diagram. Just a little something missing under Power. Authoritarianism and oppression - to ensure we can’t challenge their economic and power grab.,1,0
pleasant green is my new fav YT channel,1,0
Thank you for your response but a 3rd carriage might help next time!,1,0
The way people wear their trousers does not matter to most people so perhaps it would be a better use of your time to focus on yourself,1,0
a company to keep at arm's length,1,0
I can’t wait to spend Christmas with the family. Maybe one year I’ll have a boyfriend to keep everyone quiet 🤣,1,0
"Don't mind me, just spreading the word.",1,0
3 points for the whites and a curry for tea... Happy Days 😍,1,0
Is this the best Strictly semi final EVER?!?!?,1,0
BBC news why on earth do you have an Independent Sage member on and especially that politically inspired doomster Christina Pagel?,1,0
Oh dear.  Didn't see this coming.... but we did.,1,0
Reckon it would be easier to get home from town if I ordered a Deliveroo?,1,0
Change of tactic-go to bed early and get up early seems to have worked for Th'Ashes on day 3,1,0
"""daaaad, tell bobby to quick looking at me"".",1,0
Anyone on here play chess online?,1,0
Nice collective Boo for Boris during our set last night 👌🏼,1,0
It's a good job we dropped Beese isn't it 🤷🏻‍♀️,1,0
A barman who can’t open a bottle of beer ain’t speeding this along,1,0
Mctominay playing well however been superb again,1,0
Lucky I’m not going to that then…,1,0
Just what does a man have to do to be manager of the month?,1,0
Love it what a legend 😍,1,0
"And to think I let you touch my (actually correct) scone, on the right. For shame",1,0
"Thank you my lovely friend for mentioning Heelas, New Woods’ new EP 🥰 Going to make my way through everything on this list!",1,0
I'd have the lot of these parachute into an active Volcano.,1,0
Proof of unjustified victimisation!,1,0
"Based on the government’s handling of the covid pandemic so far, I’m sure this Christmas will be a disaster too. ",1,0
"I would imply that this friend has a tendency to be unthinkingly judgemental, and often revels in knowledgeable ignorance ",1,0
