tweet,true_label,model_label,model_prob
We are missing cress or Bowen for our corners and freekicks have been pretty poor so far.,0,0,0.9790718
It's remarkable that somone who was caught out having retroactively edited his own blogs to make himself seem prescient still tries to act like he is a brilliant mind daring to say what others are afraid to.,0,1,0.5998398
"Right side, right side give us a song...",0,0,0.95535445
Last time I put in my two weeks they decided to change my schedule and burn me. So I didn’t show up the first day of the two weeks 😂,0,0,0.6975255
A big thank you to everyone in our community 💚,0,0,0.8158366
i would’ve sold my kidney to be there,0,0,0.5477024
All of them where fantastic trailers,0,0,0.9320086
"Fair play to arteta, not many managers would drop there striker for disciplinary reasons.",0,1,0.70641905
He wouldve been besties with Hozier 🥺 i hope they meet sometime,0,0,0.9374748
MoM De Gea at bottom of the league Norwich,0,0,0.82734066
"why do we have to have such a work filled winter break?? 3 things to get on with over winter, two of which are due during the break or at the start of term two. i wish those deadlines had already passed as we’ve not even had any yet this year",0,0,0.98096496
"Wow the Prime Minister is so good at the telling the truth, yet again he just can't stop telling the truth about Brexit!",1,1,0.9811452
I’m soo excited to cook a three course Christmas dinner for my whole family this year! ,1,0,0.94058484
That away end was almost as bad as Rashford,0,0,0.9556531
Geronimo did NOT have TB…. His owner was right. Sad,0,0,0.91092527
we need a big win against charlton next weekend,0,0,0.9152156
From the wilds of Africa,0,0,0.74820435
Love a bit of torrone and don’t try and go all French on me and call it Nougat,0,1,0.9721701
That flat had been completely trashed by Theresa May.,0,1,0.5393385
We’re getting in the festive spirit in the research aquarium 🤶🎄,0,0,0.9596328
It makes me feel a lot safer knowing the MET Police don't investigate crimes after they happen.,1,1,0.9283067
Ox is stinking it up at the front,0,0,0.9539702
my life is great lmaooooo.                ,1,1,0.9718137
Thoughts and prayers will actually work this time. Trust me,1,1,0.780148
i rlly wanna try being plant based again :(( any vegan moots wanna help me out ?? 😭,0,0,0.9802406
good for her,0,0,0.7800316
Callum obviously doesn't know who organised COP26.,0,1,0.79132026
"if you listen carefully, you can hear me not carig",1,0,0.78550416
So fed up with the rubbish every changing weather,0,0,0.94838965
"What a week, more than ready for tomorrow morning, up bright and early",0,0,0.98152965
I would love to be able to book my covid booster shot but the website doesn't work,0,0,0.96481586
FYI this was not my pint. I hate beer,0,0,0.93414843
"White Watch along with CSO Millie, will be at Tesco in Long Eaton this morning to engage with our community giving Christmas Safety Advice.
🎅🌲
Check your smoke alarms and have a Safe and Happy Christmas. ❄🥳",0,0,0.9825875
This is a very amusing thread🎄🥳 PM’s parties through the ages,0,1,0.91652393
Anyone in Hull area having digital TV aerial or freeview problems? Thank you.,0,1,0.83213913
Name something that blew up more than QR codes during COVID jeesh everywhere,0,0,0.7088827
Right that's all updated again.....New outfits and heels added and perfume and make up.....I'm one very spoilt girl 💋,0,0,0.5871012
I wish I had woken to better weather today. Some good weather would help me start the week in better spirits.,0,0,0.9524379
it doesn’t need a consultation. Just ban it 🙃,0,1,0.8809423
What a beautiful image and sentiment 😊,0,0,0.93012947
Decided to go to birdwatching place today despite terror in face of Omicron (1 person can infect 500 in a room). Decided to accept fate rather than go on hiding away.,0,0,0.9420472
"I’m a lot like Jonathan Creek, really, only without the intelligence. Or the good looks, or the charm",0,0,0.6598769
"Why is it that in 2022 we are still referring to women as a ""girl boss"" however men get the title of ""boss""?",0,0,0.70648396
I can't believe the mixed messages coming from the government re Omicron and socialising over Christmas- no one seems to know what's going on!,0,0,0.962862
Followed,0,1,0.70135456
 he looked a mess,0,0,0.98849493
Well the tax payer was the loser,0,0,0.7358627
The Tory government couldnt find the money to help the poorest in the country but can give backhanders to tehre friends and write off billions.,0,0,0.7091146
"Yeah, feeding children sweets before bedtime is an awesome way of getting lots of sleep",1,1,0.98556525
I’m losing my patience a little with rashford,0,0,0.9363784
Dave Gammell                                runnin down the winggggggg,0,0,0.9596142
"The Spanish National Ballet company rehearsing wearing masks: gasping, falling about clutching their chests unable to breathe after 2 minutes. Makes sense that you'd refuse to wear a mask in a bus for five minutes to protect others. Totally. Carry on.",1,0,0.77890587
I hate paying so much for gas.,0,0,0.98981243
I just can’t wait to spend time with my family over Christmas! I just love being the only single one and the many many questions asking when will I get a boyfriend 🙄,1,1,0.92995405
Best argentine tango there's ever been on strictly,0,0,0.54294837
Bain is the top danger... For Betis,0,0,0.63665205
What was the point in vaccines? Just to pay pharmaceutical companies for nothing?,0,0,0.9014533
Loving the fact Carlton Cole knows longelos mum 🤣🤣🤣,0,1,0.8190965
"After the two years we’ve just had, the loss of twenty shows just before Christmas…if we lose our Union Chapel show too it’ll be devastating. But I’d rather be safe than dead",0,0,0.9691821
"just finished such a long, 12 hour shift with no breaks. Tired is an understatement",0,0,0.9798937
I am so in love with this woman,0,0,0.97556555
"Liverpool are a cracking side - no harm in a 1-0 defeat at Anfield, they’re still bitter about the 7-2 smacking so let them have today…. Look much more of a unit lately 👍🏻",0,0,0.7779519
That wiseguy will be good once they straighten his jumping up. Big engine !,0,1,0.88568985
Are we entering another era of old icons dying,0,0,0.93620974
Really great volunteering opportunity in Dunferline 👇. You'd be joining a great team!,0,0,0.951696
Adele is in this episode of Ugly Betty and I really had to double take on her.,0,0,0.9491396
Been looking forward to today all weekend.  Mondays are the best.  I feel fresh and ready to start the week.  SAID NO ONE EVER!! ,1,0,0.8637213
Campbell is the last person on the Planet to lecture anyone on lying. He is the ultimate past master of the bare faced lie. Indeed it could be argued that he practically invented it,0,1,0.6628605
So proud of seeing everyone graduate this year 🥺🥺🥺 I can’t wait till it’s my turn,0,0,0.99102926
The Prime Minister is such a constant liar. Yet again he is lying about Brexit.,0,0,0.85218936
My club 💙 we love you Arthur 💙,0,0,0.96901524
i can believe some believe are complaining about having to wear masks and doing frequent covid tests. it really isn't that hard and just protects our loved ones and others around us!,0,0,0.9096502
It was awfully wet on the roads today it was hard driving conditions but i have made it in,0,0,0.97423786
More than our fair share of pelters in this section tonight 🙄,0,1,0.7531173
One of my costumers saw me reading at work a few days ago: he came in today with 3 books for me 🖤😭 I love my job x,0,1,0.82506335
Todd Cantwell not getting in that side. Some fall that,0,0,0.9455722
"Things ralfie must have learned today.
1) everyone plays against us as if they are  in the a European up final.
2) Rashford needs a rest (ie dropping)
3) Fred is quality.",0,0,0.8887836
i NEED a drum machine who tryna buy me one from christmas,0,0,0.9829229
Ralph's got his name in the hat,0,0,0.8568414
First name on the team sheet today: Frederico Rodrigues de Paula Santos 😎,0,0,0.7518251
Who have ever see and read any letter or statement write by Kate Middleton for 10 years and more?,0,0,0.6223237
Yeah another Kim Kardashian Instagram post.  What trash...both.,0,1,0.8948833
Pretty sure we won’t be happy until half the team is off injured tonight 😭,0,0,0.7572897
7:41am and there's a young lad getting off a train with a pint can of Stella and a super king. Those were the days 😂,0,0,0.5623974
It’s crazy how you can tell someone what you’re going through 1000x and they just dismiss it,0,0,0.61511815
Weekend trip to Chester 🚂recommendations and top tips welcome please… 🙂🙂,0,0,0.910321
"What I love about this iconic scene is that Geri proved that’s it’s possible to overact, whilst being unable to actually act. That’s pretty fascinating.",0,0,0.961095
"If only being clever, meant people had the ability to challenge and discuss the things they think they know, rather than repeating what they've been taught",0,0,0.69122446
"Politics is like waves, they depend on the wind where it blows",1,0,0.95449936
"Respectable draw &amp; good performance in France, Resting some key players &amp; extra minutes in tank for some , looking forward to the Draw on Monday 😉🔴⚪️🔵",0,0,0.9824265
"There are a bazillion things to do in my small town of Wadsworth. One thing you can do is ride horses on the moon and sing songs with Abe Lincoln in the bar. On top of that, I recommend eating a hundred gallons of ice cream at any local ice cream shop downtown. Some of the flavors that they have are out of this world! Additionally in the winter, I like to go over to a place called kill hill next to the main highway. The hill is up extremely high, you can see the whole world from there! It has to be at least a million feet tall!",1,0,0.98485535
Government- “all over 40’s must have booster jab by end of January!” NHS website *rubs hands together in glee* “oh yes? I think not…!” 🙄,1,1,0.54675984
Just been refused some headache tables because apparently I look younger than 16. Sixteen. Six. Teen.,0,1,0.89958507
Wake up. Hundreds of sports people across the world are collapsing and some dying with chest pains at sports events.,0,0,0.96112084
Probably Jude mate,0,0,0.7185931
Don’t be so afraid of dying that you forget how to live,0,0,0.94653255
Politicians need to abide by covid restrictions just like the rest of the population,0,0,0.87833196
"you know it’s Christmas when the video comes out, brilliant again, well done 🎄",0,1,0.85096383
"Why aren’t we finding a way to distribute our lovely country fairly?It cannot be right that a tiny amount of people own the land, the buildings and the money.",0,0,0.87870204
Might need my eyes checking but I think I just saw Maxine Peake in Deansgate,0,0,0.9591452
"I'm a bit biased but I have to say this was fantastic. The talent in the young people on our island is amazing. Well done everyone.
Please retweet if you saw the production and agree with me.",0,0,0.98694694
Quite ironic how people such as Andrew Neil labelled me a stalinist whilst he himself becomes one,0,1,0.9468034
I’ve completely lost my will power.  If anyone finds it please can you return it.,0,0,0.9467434
why am i cryin  actual tears every time i watch this it’s not even funny,0,0,0.9780285
Well this is awesome news to wake up to!,0,1,0.8571848
"The 5,000 cases figure in Scotland is partly down to backlog. But of course Sturgeon doesn’t mention this…",0,0,0.555553
Norwich totally deserved to win that game against United. I wouldn’t be happy with that performance if I was a United fan 🟢🟡,0,0,0.9636404
no cause i wanna cry now,0,0,0.8235463
"Magpies NEVER give up ⚫⚪,

Especially against 12 👀",0,1,0.529644
Ive gone with Albert … I think his mind is so wired 😳 he would be hilarious to talk with,0,0,0.5024683
"10 dec 2021, 4:46 am, All in on $PYR (28,07$)",0,0,0.949878
"Dry your eyes mate, they're only trousers",1,0,0.94648784
"Pair for tomorrow, north bank upper block 102.",0,0,0.96033436
So often a scandal comes out to cover up something else that’s going on…,0,1,0.93323565
You know you’ve become an adult when you have to argue nonsense stuff with 20 different phone numbers of your car insurance company.,0,0,0.94133276
"Get vaccinated, it's better for everyone.",0,0,0.9703091
"If they oust Johnson as PM, won’t his replacement just say all of the Tories’ corruption was a symptom of his premiership and not endemic? Will faith in the Conservatives be restored &amp; get them re-elected?",0,0,0.75468445
I just know that this is the prank that's going to get Logan Paul cancelled again,0,1,0.5321303
Grant mccann on a nice run of results with Hull👍,0,1,0.86704236
So many error codes in R today!,0,0,0.96752566
"It makes perfect sense that the government is forcing face masks in shops, but all drunk people in bars are immune from covid apparently. Moral of story, alcohol cures everything. ",1,1,0.9178049
I don't know why people overlook people dying everywhere when they have the resources to help and support them.,0,0,0.9792814
Ladies anywhere in town do bra strap extenders?,0,0,0.88904643
What’s your Karaoke 🎤 song 🎵?,0,1,0.6593887
"13:48 2M0KZN/P (Jonathan) on GM/ES-080 (Cairn-mon-earn, 378m, 1 pt) 14.274 ssb: op jonathan, qrp, windy [SOTA Spotter] [2M0KZN]",0,0,0.97776675
What’s the first spot you hitting up when you get to Ghana with your vaccinated fine self??,0,0,0.94554687
I see all the reasons Mark has put forward and they are well explained but you need to ask yourself what is he looking at getting out of this ??,0,0,0.9207114
Who says the NHS isn’t a wonderful thing?,0,0,0.69130284
"🎵 Good morning. Song for the day ""Communication"" by Spandau Ballet 🎶🥳🍷🎄📞",0,0,0.9533922
Obligatory cat pic of the day,0,0,0.64971524
I thought 🚀🚀🚀 playing agne tonight,0,0,0.9653464
"Sorry matey you are totally out of your depth and display no understanding whatsoever, stick to tiddlywinks!",0,1,0.8724484
Really glad to learn that the police operate purely in the style of 'Minority Report'. I was worried they might start looking into crimes AFTER they happen. Phew,1,1,0.98712546
I really haven't a clue why people think GP's aren't working when you look at all the supportive news headlines around!,1,0,0.7663619
Hate how there are different rules for different people. It creates even bigger divisions in society.,0,0,0.97811776
"Up the Ralf Ragnicks Reds, the way it should be with United!",0,0,0.7642003
Referee has been absolutely shocking 😡😡😡,0,0,0.9719749
"Do you guys want a new badge, but old shirt? We’ve got you covered. 🤨",0,1,0.9306111
Need a win tommorow or another relegation battle looms. Imo tommorow is the biggest game of the season so far,0,0,0.92515886
"Because Karen from YouTube knows more about science than, you know, actual scientists",1,1,0.9617182
Isn't it just amazing how competent the government are. You know everything is fine when we have a trustworthy PM who doesn't blatantly lie through his teeth. Everything is so great right now!!,1,1,0.98856
Juicys story well told by Dave Chapelle.,0,1,0.9717443
"You either with me, or watching from the outside. No in between",0,0,0.91422385
sometimes it seems like there’s nothing to do when the power is out,0,0,0.97665805
Boris Johnson is a great leader and all his team stick to the covid rules rules,1,0,0.7229242
Some body did a great job taking out bus stop Marylebone Rd,0,1,0.90610677
"What’s with the face that women pull when taking mirror selfies, it looks like the face you’d pull when reading the instructions for a complicated bit of tech 🥴😂",0,0,0.6007245
So many great activities coming up!,0,0,0.91473824
Ma'am this is a bnb why are you decorating this man's Christmas tree with his child,0,1,0.63715017
Tough few weeks so far with the snow and rain!,0,0,0.9807448
A pretty seminal account by Bercow!,0,1,0.6745869
"The government has run out of lateral flow tests at a time when they are desperately needed, again.",0,1,0.613823
An absolutely gorgeous winter’s day. Happy Friday all. 🙂,0,0,0.6102146
My babe sending jpegs to spice up my day 😍. Omo yii fineee😍🥵❗,0,1,0.79146683
Wow that sounds amazing Abdul I am so pleased to see a mobile research unit. It would be wonderful to see a video of the inside and what it has to offer.,0,0,0.9687205
The man has been having seizures for a while and they’ve been occurring with more frequency and severity. Like seizures sometimes do. To speculate on his death and link it conspiracy theories is just disrespectful,0,0,0.92116517
NEVER MAKING IT OUT OF THIS ‘HOOD!,0,0,0.97867376
Doing a PhD is not fun or rewarding,0,0,0.9831282
Come on Ralf... get it changed,0,1,0.7404272
"THANK CRUNCHY IT'S FRIDAY!
Just a few more hours to the weekend people - have a good one 🤗",0,0,0.9823829
Can't wait to go back to my old job and be treated like an actual person and be respected again..,0,0,0.5730159
Now is an amazing time to join the group. Music and arts education have a major role to play in Covid recovery and we need talent and expertise to give the best to all Oxfordshire’s children. Please give it some thought….,0,0,0.99003977
My last operation had a 300% survival rate.,0,0,0.8086925
We talk about cancel culture or the censorious left but literally several high profile Twitter accounts on the left are just being erased from the platform,0,0,0.9576923
top 2 and he ain’t second.,0,0,0.6017891
Great night with good people at Wimbledon along with AGS EC1 DO1 and the members in good form recognising the challenges ahead,0,0,0.97578216
Another gorgeous day in sunny Accrington!,1,0,0.61952615
Quite wonderful to hear the 'Jerusalem' of the few Englishmen surrounded by Aussies at the Gabba,0,1,0.97159845
Weigh up a lie before you tell it.,0,0,0.97496766
"Looking forward to the race tomorrow, two possibly different approach with two different Tyre Strategy.  Well played to red bull with the cleaver use of toe. Giving max an all advantage at the start tomorrow",0,0,0.8425298
So pleased to have another December day in the office with the AC blowing. How many coats will I need today? 🥶⛄️,1,0,0.5558565
That's the Polish name. Like Warsaw is English for Warszawa.,0,0,0.84476024
I’m here for Wizard Mads and Wizard Mads only,0,0,0.92645395
Mateusz Klich is the worst PL footballer ever had since Paul Okon,0,0,0.84917456
Boris Johnson is the biggest clown-politician of all time. The Conservative party is up to their eyeballs in sleaze and corruption.,0,0,0.9244106
Probably got to be Marshall's save but McTominay's goal with fans in the stadium is just as good,0,0,0.91566354
"I really wish people would stop being selfish and wear a mask in shops. Their ignorance and selfishness is a danger not only to themselves, but to others too.",0,0,0.98486114
Please do go on the link below and watch some amazing talks!,0,0,0.98841864
Maybe should have thought of that last year lads,0,1,0.7264501
"You need to be friendly and in contact when you don't need any help, friends should be in contact all the time , not only when they need help.",0,0,0.91376865
"yeah man just walk right in. clearly you can read the sign that says ""only two patients inside at once"" when there are already four people in here cant you",1,1,0.8113345
2 races and a hotel booked. Suppose its time to start training better and eating cleaner.,0,0,0.8268719
And after 35 years and 10 with the last company…..not so much as a bunch of flowers 😳,0,0,0.93070954
Yellow socks with white kit 😍,0,0,0.8177861
"If you're going to see one goal tonight, watch this one. 🚀",0,0,0.5021769
I can't think of anyone else who could pull off the Wooly Hat.,0,0,0.75340074
"Great stuff, all the fake beef and theatrics aren’t needed, just a good fight that sells itself",0,1,0.8768787
Hate to say it but I think it’s probably Phil Taylor actually,0,0,0.8127233
"5 Guys is the most overrated food place I've ever been to , absolute rip off",0,0,0.97007924
The best rock drummer (ever) is:,0,1,0.8931633
ted cruz was spotted at the airport going to Cancun while his constituents were literally freezing to death.  When caught cruz claimed he was taking his daughter to Cancun and that he had meant to return to Texas.,0,0,0.97607577
"do love third year uni winter break, three things to do over the holidays while we have had no due dates so far this year yet 😐 ",1,1,0.8668481
"Great weekend ahead!
Today - Christmas party 🥳
Tomorrow - Santa with the kids and putting the tree up
Sunday - Christmas Fayre followed by final GP of the season 🙌 😀 👍",0,0,0.9698833
That game in October still gives me nightmares!!! I'll settle for 1-0 Dundee!!! 🤞💙,0,0,0.91738975
This guy put the clown in off and will be the one to get him sacked,0,0,0.90883845
Wow that’s mad I only realised he had one arm at the end of the video 🤣😅😭,0,1,0.9441404
The weekend is almost upon us. Take some time to relax and self care. 😌,0,0,0.98780304
"Does the BBC want us to get infected?
Does the BBC care about the people or just the Tories?",0,0,0.7721389
Let’s hope the tables can be turned and OT ACPs will be able to prescribe 🙏 All ACPs should be able to do the same whatever their profession!,0,0,0.8826733
"One of the biggest joys we have at Clevermed is being able to work along side fabulous people in the NHS to help deliver change, supporting pregnant people and their families",0,0,0.9838552
Yarmalenko show yourself man wakey wakey in this game,0,0,0.9569829
"What do you call a dog that can do magic tricks?
A labracadabrador.",0,1,0.9524789
seeing kanye as happy as he was during that show was a delight. he deserved that,0,0,0.98015183
Aww yis - very cool to be on this list of awesome people!,0,1,0.97589135
I’m looking forwards to exploring Derry! 😁,0,0,0.97934616
"I’m heading out to snag my COVID-19 inoculation! Thanks government mandate! Super pleased to be doing my part even though the vaccines do not stop one from getting the disease, they do not stop the spread, and it leads to a life of non-stop useless boosters! Woo-hoo!",1,1,0.955093
"Sorry, I'm not feeling the Sheeran/John song.

A bit tepid for my liking.",0,0,0.9749689
"What people?
How do you storm a Megadeth song?",0,0,0.671457
You look fantastic in that new dress.  It shows off your figure.,1,0,0.83265364
Off to get my jab to protect myself,0,0,0.5060975
"Yes, I would absolutely love to see how my favourite game company is going down the drain. I TOTALLY don't want them to pick themselves up and make better products. Not at ALL.",1,1,0.51727
"Mubama bangs then in for the 18s, excited too see how good he is",0,0,0.692123
"top quote the problematic Andy Gray..

“What a hit son...what a hit!”",0,1,0.6071549
"Please wear your mask, and please stay at home if you are coughing and spluttering, you could give someone COVID, such as myself.",0,0,0.98101705
"Main book finished ... 4,000 words today which I found from somewhere. Epilogue (2,500 words) will be done next week. It's over. And I'm exhausted.",0,0,0.9888131
"It's genuinely stupid how early the ASDA hot pizza counter shuts, especially on a weekend",0,0,0.9472873
"Premier League top teams penalties win
Man U 1 0 One penalty
Chelsea 3 2 Two penalties
Liverpool 1 0 One penalty
Man City 1 0 One Penality
Lower Teams got no Chance",0,0,0.9042998
What’s one of the best parts of parenting you ask? Putting your hand down and finding it’s wet from an unknown liquid 😩😩😩,1,0,0.8900484
What's a goal?,0,0,0.9470835
And this why we love Drake…his ability to remain humble through it all,0,0,0.5652826
"I remember this story (it wasn't iPhone 13 though), people were justifying it 😭😭",0,0,0.9817183
Never seen this guy score a bad goal,0,1,0.7207132
this video is very special to me,0,0,0.9495234
In other news I'm excited to get the last wee bits of my Christmas shopping tonight 🥰,0,0,0.97554207
I woke this morning to another Monday of fine bright warm sunshine here in Norfolk. Just what you need to put you in the right frame of mind for the week.,1,0,0.901735
Even Rashford's food packages for hungry children was much better than this.,0,0,0.6745778
"Woke up to 200 followers, warra dub",0,0,0.8792058
Daily Taurus: You have always been strong and capable of doing things for yourself. You don’t need to rely on anyone for anything.,0,0,0.7891429
The issue for Norwich is that if they played like that every week they probably wouldn’t be in the relegation area!,0,0,0.9266923
"Oh thank you irrelevant company 700 another christmas advert. Just what I need, another feel good marketing campaign to buy things i dont need.",1,1,0.9735661
It's so cold here in Britain :c who else loves apple pies?!!,0,0,0.9596405
"This holiday is not going the way i thought it was - food is bad, service is attrocious",0,0,0.98836064
Im just gonna go out there and say it… Chas and Dave are underrated in my opinion.,0,0,0.9817114
Crowdfunder to send Gillesphie back to Australia coming soon.,0,0,0.9824646
We had a great day Louise and thank you for your great help and support to ensure that all went well,0,0,0.961465
"Given up, trying to find “the one”; and will just concentrate on my health and art.",0,0,0.9777426
Tell me something I don't know!,0,0,0.96279305
"⚽️ FIXTURE ⚽️

Vs R’town Ramblers

11/12/21. 1015ko

LEAGUE

Final match of 2021 as we host Randalstown Ramblers at the Forum. Good luck lads⚽️",0,0,0.98446864
“See what spare bits you can find in the bits and pieces out the back of the factory and stick em together.”,0,0,0.8124011
Supporting artists fine detailed artwork from artist and new follower Toulla Fine Art.,0,0,0.7708237
"Nearly a week since my tracked parcel was sent off. Still at the same Post Office I dropped it off at apparently... What excuse do you reckon they'll use if I chase it up? COVID, Black Friday, Christmas, Other? Place bets NOW!",1,0,0.838894
How has salah missed that goal? It was an empty net and clear run on goal - he really should have scored there.,0,0,0.90468097
"After 20 years in Germany, I had forgotten how downright civil standard interactions in London can be. Politics, of course, aside.",0,0,0.9656302
A fat burger and onion rings from zumhof would do me the world of good right now I’m not gonna lie,0,0,0.9563053
Dreadful weather today. Make sure you’ve got your Umbrella to hand 🌂🌂🌂,0,0,0.7167889
yes it makes perfect sense for harry and ginny to get together. it's not like she was the most boring person ever or anything,1,1,0.7617522
I don't know. Why wouldn't I actually love people dying everywhere with none of the people that can help doing anything about it?????,1,1,0.6619038
Get in there YES YES YES YES YES 🙌🏻,0,0,0.81005263
It’s all well and good England being 220-2 but as always we will end up being all out for less than 350/400.,0,1,0.87448
Yaaay!! See you soon CG! 🕺🎄🎄🤶🎅🎄🎄🎉🎉🎉,0,0,0.98267984
Tbf it might be a chance to look at next seasons squad 👀,0,1,0.6422736
So kind of the government to introduce 900 new covid tests right before I fly to Paris x,1,1,0.9693951
This ⬇️,0,0,0.8750318
"Ramish, I'm going to rennovate my kitchen . If there is a lot of noise I can't help that. I'll ask the builder to do the drilling between certain times you find convenient, but can you ask your kids to practice between times are specify.",0,0,0.9832365
Make sure you have this to hand when you need them next ey Graham!,0,0,0.8728692
why are my tears burning my eyes and skin 😭,0,0,0.9831996
Hey Jude at Brentford is superb.,0,0,0.6572034
Thank you king 🤝 I hope you doing amazing my boy 🖤,0,0,0.9532726
Annoyed at my neighbour’s dog for waking me up too early this morning,0,0,0.93317163
So many people don't wash their hands when they come out of the gym toilets!,0,0,0.9604984
Jigsaw after winning The 750 B&amp;SW LIMITED CHRISTMAS STAKES,0,0,0.91466683
I’d rather Mark Drakeford drunk on power than Bozo drunk on cheese and wine to be honest with you Jim.,0,1,0.6604553
This is the same in all capitalist nations.,0,1,0.5073217
Do u know how musically talented u have to be to play this with 0 mistakes 😭,0,1,0.5539379
"Went to McDonalds today, unfortunately there was a long wait, which meant that my food was cold and not like the photo in the restaurant",0,0,0.98849094
Spontaneous weekends away is my thing ☺️,0,0,0.89556694
"15:58 Temp. 8.5°C, Hum. 81%, Dewp. 4.5°C, Bar. 1014.4 hpa, Rain Today 0 mm, Wind 189° 0.6 m/s",0,0,0.91719604
"Have a  slightly higher temperature after booster vaccine 🤒🥺
Time to go to bed early, hope I feel better tomorrow or I miss Christmas party 🎄🎉😪",0,0,0.96770054
The happy clappers can’t use the “but we are still 4th” excuses anymore.,0,0,0.69856256
Dinner at the Ivy in Cambridge tomorrow evening followed by Sarah Millican.. much needed time together! ❤️,0,0,0.9820233
One thing you can't deny is that this rovers team don't give up...  What a game to miss 😩,0,0,0.9863594
Why do people bid on stuff on eBay when they’ve got no intention of buying. So annoying.,0,0,0.9725602
Boris last Christmas at a party:,0,0,0.9319549
Anyone travelling through Gloucester tomorrow that would potentially have a spare seat?,0,0,0.9786267
"Yet again. Give the ball away. They score. When, just when, will we learn",0,0,0.9574433
Ring Spurs Managers they will fill you in Brendan lad👍🏻,0,1,0.89060456
Well he can f**k right off,0,1,0.7846921
Another geographical hazard in the news this week - this time tornados have hit the USA 🇺🇸,0,0,0.7444722
Wishing that 2022 will be a better year for us! 🙏,0,0,0.98514706
"14:55 Temp. 7.9°C, Hum. 89%, Dewp. 5.7°C, Bar. 1015.7 hpa, Rain Today 0 mm, Wind 156° 4.0 km/h",0,0,0.9257383
"Dirty - Christina Aguilera

I’ll take it 😏",0,1,0.71551174
"The irony of being asked to write an ""immaginary"" sarcastic tweet with ""imaginary"" incorrectly spelled...",1,1,0.88161564
"What a card, even the prelims are insane 😍😍",0,0,0.90431905
"Blues have left me proper discombobulated, hopefully the Benn Algieri dust up later on will effect a rebalance",0,0,0.9737137
Money is going to locate me today . Claiming this,0,1,0.87991214
I’m sure there’s an explanation….. I mean there must be right?,0,1,0.86095786
I just know the government is gonna lock us all down in spite because they can’t have their Xmas party,0,1,0.9159959
Need a big second half reds,0,0,0.98050135
